reference;author;year;predictor;field;category;weapon;functionality;escalate;functionality;response;response_type;vertebrate;phylogeny;order;species;species2;n;zf;v.zf;slope_weapon;ref
Density dependence and fighting in species with indeterminate growth: A test in a fiddler crab;Bolton_etal;2013;Resident carapace;yes;winner;yes;morpho;yes;yes;log of fight duration;duration;no;Pancrustacea;Decapoda;Austruca annulipes;uca_annulipes;104;-0.68;0.01;1.86;Rosenberg (2002)
Density dependence and fighting in species with indeterminate growth: A test in a fiddler crab;Bolton_etal;2013;Wanderer carapace;yes;loser;yes;morpho;yes;yes;log of fight duration;duration;no;Pancrustacea;Decapoda;Austruca annulipes;uca_annulipes;104;1.59;0.01;1.86;Rosenberg (2002)
Mutual assessment during ritualized fighting in mantis shrimp (Stomatopoda);Green;2018;mass;no;winner;yes;physiological;yes;no;duration;duration;no;Pancrustacea;Stomatopoda;Neogonodactylus bredini;neogonodactylus_bredini;35;-0.11;0.031;0.983;Green & Patek 
Mutual assessment during ritualized fighting in mantis shrimp (Stomatopoda);Green;2018;mass;no;loser;yes;physiological;yes;no;duration;duration;no;Pancrustacea;Stomatopoda;Neogonodactylus bredini;neogonodactylus_bredini;35;-0.05;0.031;0.983;Green & Patek 
Fighting for harems: assessment strategies during male-male contests in the sexually dimorphic Wellington tree weta;Kelly_Clint;2006;winner head length;no;winner;yes;morpho;yes;yes;contest duration;duration;no;Pancrustacea;Orthoptera;Hemideina crassidens;hemideina_crassidens;57;-0.14;0.019;2.44;Kelly 2005
Fighting for harems: assessment strategies during male-male contests in the sexually dimorphic Wellington tree weta;Kelly_Clint;2006;loser head length;no;loser;yes;morpho;yes;yes;contest duration;duration;no;Pancrustacea;Orthoptera;Hemideina crassidens;hemideina_crassidens;57;0.31;0.019;2.44;Kelly 2005
Assessment strategy changes along contests in a Neotropical cricket;Lobregat;2018;femur length;yes;winner;yes;morpho;yes;yes;duration;duration;no;Pancrustacea;Orthoptera;Melanotes ornata;melanotes_ornata;39;-0.42;0.028;0.998;Lobregat et al. 20xx
Assessment strategy changes along contests in a Neotropical cricket;Lobregat;2018;femur length;yes;loser;yes;morpho;yes;yes;duration;duration;no;Pancrustacea;Orthoptera;Melanotes ornata;melanotes_ornata;39;0.66;0.028;0.998;Lobregat et al. 20xx
Fighting strategies in two species of fig wasp;Moore_etal;2008;loser mandible length;no;loser;yes;morpho;yes;yes;contest duration;duration;no;Pancrustacea;Hymenoptera;Sycoscapter sp;sycoscapter_sp;18;0.54;0.067;1.18;Bean & Cook 2001
Fighting in fiddler crabs Uca mjoebergi: What determines duration?;Morrell_etal;2005;claw size_winner;no;winner;yes;morpho;yes;no;contest duration;duration;no;Pancrustacea;Decapoda;Austruca mjoebergi;uca_mjoebergi;173;0.18;0.006;1.93;Rosenberg (2002)
Fighting in fiddler crabs Uca mjoebergi: What determines duration?;Morrell_etal;2005;claw size_loser;no;loser;yes;morpho;yes;no;contest duration;duration;no;Pancrustacea;Decapoda;Austruca mjoebergi;uca_mjoebergi;173;0.7;0.006;1.93;Rosenberg (2002)
Exaggerated rostra as weapons and the competitive assessment strategy of male giraffe weevils;Painting_Holwell;2014;winner body length;yes;winner;yes;morpho;yes;no;contest duration;duration;no;Pancrustacea;Coleoptera;Lasiorhychus barbicornis;lasiorhychus_barbicornis;78;-0.42;0.013;1.564;Somjee et al. (2021)
Exaggerated rostra as weapons and the competitive assessment strategy of male giraffe weevils;Painting_Holwell;2014;loser body length ;yes;loser;yes;morpho;yes;no;contest duration;duration;no;Pancrustacea;Coleoptera;Lasiorhychus barbicornis;lasiorhychus_barbicornis;78;0.48;0.013;1.564;Somjee et al. (2021)
Freshwater decapod (aegla longirostri) uses a mixed assessment strategy to resolve contests;Palaoro_etal;2014;residual claw length_winner;no;winner;yes;morpho;yes;yes;contest duration;duration;no;Pancrustacea;Decapoda;Aegla longirostri;aegla_longirostri;14;-0.51;0.091;1.466;Palaoro et al 2014
Freshwater decapod (aegla longirostri) uses a mixed assessment strategy to resolve contests;Palaoro_etal;2014;residual claw length_loser;no;loser;yes;morpho;yes;yes;contest duration;duration;no;Pancrustacea;Decapoda;Aegla longirostri;aegla_longirostri;14;0.27;0.091;1.466;Palaoro et al 2014
